customer_id,name,age,gender,marital_status,state,occupation,industry,annual_income_lakh,cibil_score,cibil_category,existing_loan_count,customer_since,branch_id
CUST00001,Customer_1,28,Female,Divorced,Madhya Pradesh,Salaried,Banking,30.26,562,Fair,4,2016-05-26,BR0025
CUST00002,Customer_2,27,Female,Married,Haryana,Salaried,IT,50.4,830,Very Good,1,2018-03-31,BR0006
CUST00003,Customer_3,36,Other,Divorced,Karnataka,Business Owner,Education,23.97,874,Excellent,1,2017-12-29,BR0045
CUST00004,Customer_4,65,Other,Married,Karnataka,Government Employee,FMCG,51.67,827,Very Good,2,2021-03-31,BR0015
CUST00005,Customer_5,65,Male,Single,Madhya Pradesh,Business Owner,FMCG,62.62,748,Good,2,2015-09-29,BR0014
CUST00006,Customer_6,58,Female,Widowed,Bihar,Freelancer,Banking,18.9,870,Excellent,1,2017-12-20,BR0009
CUST00007,Customer_7,37,Other,Widowed,Bihar,Retired,FMCG,22.79,818,Very Good,2,2017-06-17,BR0009
CUST00008,Customer_8,54,Male,Married,Punjab,Self-Employed,FMCG,6.06,746,Good,4,2015-09-18,BR0025
CUST00009,Customer_9,46,Other,Single,Punjab,Freelancer,Manufacturing,43.46,809,Very Good,4,2017-12-28,BR0050
CUST00010,Customer_10,63,Female,Single,Haryana,Freelancer,Real Estate,36.14,687,Good,4,2017-01-01,BR0033
CUST00011,Customer_11,28,Other,Married,Karnataka,Business Owner,Healthcare,67.71,869,Excellent,4,2020-12-12,BR0001
CUST00012,Customer_12,60,Female,Divorced,Tamil Nadu,Salaried,Retail,11.08,652,Good,4,2015-11-19,BR0006
CUST00013,Customer_13,53,Male,Married,Punjab,Government Employee,Construction,43.74,847,Very Good,1,2017-12-21,BR0034
CUST00014,Customer_14,60,Other,Married,Haryana,Business Owner,FMCG,74.48,677,Good,2,2019-11-30,BR0034
CUST00015,Customer_15,50,Male,Married,Kerala,Self-Employed,IT,7.37,578,Fair,0,2015-08-30,BR0015
CUST00016,Customer_16,26,Male,Divorced,Punjab,Government Employee,Retail,7.9,871,Excellent,4,2016-06-25,BR0047
CUST00017,Customer_17,58,Female,Married,Delhi,Salaried,FMCG,63.29,781,Very Good,2,2019-10-01,BR0027
CUST00018,Customer_18,51,Other,Single,Maharashtra,Government Employee,Education,54.65,853,Excellent,0,2017-10-15,BR0013
CUST00019,Customer_19,34,Female,Widowed,Tamil Nadu,Salaried,Banking,35.14,767,Very Good,4,2016-02-06,BR0004
CUST00020,Customer_20,63,Male,Married,Uttar Pradesh,Government Employee,Banking,77.59,850,Excellent,1,2019-07-01,BR0004
CUST00021,Customer_21,32,Female,Divorced,Uttar Pradesh,Freelancer,Construction,22.98,699,Good,3,2016-09-26,BR0013
CUST00022,Customer_22,40,Other,Single,Haryana,Business Owner,IT,47.34,657,Good,0,2021-07-20,BR0031
CUST00023,Customer_23,54,Other,Single,Andhra Pradesh,Self-Employed,Manufacturing,14.62,883,Excellent,4,2015-10-06,BR0044
CUST00024,Customer_24,37,Other,Single,Kerala,Salaried,FMCG,21.51,722,Good,4,2021-05-04,BR0034
CUST00025,Customer_25,42,Female,Married,Gujarat,Government Employee,Healthcare,54.37,863,Excellent,2,2020-02-16,BR0021
CUST00026,Customer_26,26,Male,Single,Telangana,Self-Employed,Construction,79.88,459,Poor,2,2016-06-26,BR0023
CUST00027,Customer_27,26,Female,Divorced,Kerala,Freelancer,Construction,24.52,873,Excellent,0,2021-03-21,BR0020
CUST00028,Customer_28,64,Male,Married,Gujarat,Business Owner,Hospitality,22.92,567,Fair,1,2018-11-05,BR0014
CUST00029,Customer_29,65,Female,Single,Delhi,Freelancer,FMCG,41.62,783,Very Good,2,2015-06-30,BR0001
CUST00030,Customer_30,43,Male,Widowed,Telangana,Freelancer,FMCG,78.43,831,Very Good,4,2015-02-09,BR0008
CUST00031,Customer_31,26,Other,Single,Andhra Pradesh,Business Owner,Hospitality,72.54,894,Excellent,4,2016-08-29,BR0028
CUST00032,Customer_32,30,Male,Divorced,Tamil Nadu,Freelancer,Retail,72.16,393,Poor,0,2018-12-19,BR0050
CUST00033,Customer_33,57,Other,Married,Bihar,Self-Employed,Healthcare,77.97,876,Excellent,1,2019-08-16,BR0002
CUST00034,Customer_34,33,Female,Married,Gujarat,Self-Employed,Manufacturing,63.11,792,Very Good,3,2015-06-08,BR0031
CUST00035,Customer_35,36,Male,Married,Maharashtra,Freelancer,Retail,29.53,608,Fair,3,2018-09-06,BR0018
