loan_id,customer_id,loan_type,loan_amount_lakh,interest_rate_pct,tenure_months,emi_amount,disbursement_date,branch_id,loan_status,emi_missed_count,days_past_due,is_npa,collateral_type,processing_fee_pct
LOAN000001,CUST01777,Personal Loan,6.1,16.62,36,21632.98,2024-03-12,BR0004,NPA,6,138,1,Gold,1.6
LOAN000002,CUST06925,Personal Loan,0.54,13.21,120,812.98,2024-12-08,BR0017,Active,0,0,0,Gold,2.18
LOAN000003,CUST05739,Business Loan,64.07,7.74,60,129115.09,2023-05-24,BR0027,Active,0,0,0,Gold,0.74
LOAN000004,CUST02346,Personal Loan,3.71,10.02,180,3991.33,2023-03-20,BR0035,Active,2,60,0,FD,2.02
LOAN000005,CUST04720,Education Loan,14.38,11.77,180,17046.21,2024-12-31,BR0010,Active,0,0,0,Vehicle,0.66
LOAN000006,CUST08883,Auto Loan,13.85,8.01,120,16811.19,2023-04-07,BR0004,Active,0,0,0,Gold,1.29
LOAN000007,CUST04858,Gold Loan,5.36,8.26,60,10934.97,2022-08-22,BR0007,Active,0,0,0,None,0.78
LOAN000008,CUST01662,Business Loan,29.95,17.87,240,45922.76,2021-07-06,BR0012,NPA,3,48,1,Vehicle,1.36
LOAN000009,CUST01384,Business Loan,46.06,12.73,60,104165.13,2021-06-28,BR0048,Closed,0,0,0,None,1.78
LOAN000010,CUST04720,Gold Loan,3.36,8.16,240,2843.99,2021-08-11,BR0010,Closed,0,0,0,Vehicle,1.17
LOAN000011,CUST04485,Home Loan,62.31,10.94,12,550531.74,2023-09-06,BR0018,Closed,0,0,0,Vehicle,2.41
LOAN000012,CUST07610,Personal Loan,4.06,15.37,36,14147.8,2023-03-02,BR0028,Active,0,0,0,Gold,2.2
LOAN000013,CUST06972,Education Loan,6.52,16.77,36,23171.01,2024-05-03,BR0005,NPA,3,66,1,None,0.53
LOAN000014,CUST08618,Gold Loan,3.73,14.83,60,8840.39,2023-08-24,BR0012,Active,0,0,0,Gold,1.0
LOAN000015,CUST02566,Auto Loan,14.7,16.51,36,52051.73,2024-05-31,BR0016,Active,0,0,0,Property,1.83
LOAN000016,CUST00958,Personal Loan,9.82,9.89,84,16246.6,2020-10-17,BR0042,Active,0,0,0,FD,1.38
LOAN000017,CUST08203,Education Loan,14.04,9.81,48,35481.09,2020-07-10,BR0001,Closed,0,0,0,Property,1.5
LOAN000018,CUST03079,Education Loan,7.56,9.61,180,7944.6,2022-08-08,BR0012,Restructured,0,0,0,Gold,1.93
LOAN000019,CUST08921,Gold Loan,7.27,8.66,180,7227.4,2024-01-07,BR0029,Active,0,0,0,Vehicle,0.87
LOAN000020,CUST09944,Gold Loan,1.59,17.9,36,5740.26,2024-01-10,BR0015,NPA,3,90,1,Gold,2.33
LOAN000021,CUST02846,Personal Loan,5.06,17.04,120,8806.99,2020-10-30,BR0046,Active,1,20,0,Vehicle,2.2
LOAN000022,CUST00108,Business Loan,30.3,13.32,120,45814.84,2023-02-11,BR0014,Active,0,0,0,None,1.21
LOAN000023,CUST07724,Business Loan,26.16,12.37,60,58681.78,2023-11-29,BR0009,Closed,0,0,0,Property,1.99
LOAN000024,CUST00623,Home Loan,74.14,17.01,36,264366.22,2020-02-20,BR0025,NPA,4,140,1,None,0.98
LOAN000025,CUST00982,Education Loan,13.56,16.95,60,33663.65,2021-12-31,BR0043,Active,0,0,0,FD,1.74
LOAN000026,CUST08718,Business Loan,69.47,13.24,12,621269.61,2021-04-14,BR0050,Active,0,0,0,Gold,2.11
LOAN000027,CUST02054,Personal Loan,2.06,8.0,12,17919.62,2020-12-29,BR0032,Active,0,0,0,Gold,1.37
LOAN000028,CUST05751,Personal Loan,7.74,9.48,48,19437.92,2021-11-26,BR0028,Closed,0,0,0,FD,1.28
LOAN000029,CUST00478,Home Loan,133.35,8.79,84,213129.4,2022-06-11,BR0050,Active,0,0,0,None,2.33
LOAN000030,CUST08792,Gold Loan,3.41,16.53,240,4880.28,2020-04-06,BR0032,Restructured,0,0,0,Vehicle,2.36
LOAN000031,CUST06887,Gold Loan,2.78,16.79,24,13716.91,2022-02-05,BR0036,Closed,0,0,0,Gold,1.23
LOAN000032,CUST07877,Personal Loan,5.61,12.54,84,10065.92,2020-05-13,BR0012,Active,0,0,0,FD,1.22
LOAN000033,CUST02749,Auto Loan,4.19,15.72,60,10127.04,2023-04-22,BR0007,Active,0,0,0,None,2.07
LOAN000034,CUST05300,Personal Loan,5.95,10.62,12,52481.68,2020-04-25,BR0007,Active,2,76,0,FD,0.71
LOAN000035,CUST09082,Home Loan,121.92,12.15,180,147503.11,2023-03-01,BR0002,Active,0,0,0,Property,1.61
LOAN000036,CUST03578,Gold Loan,4.03,8.04,12,35063.79,2022-03-11,BR0001,Restructured,0,0,0,Gold,1.88
LOAN000037,CUST09608,Personal Loan,2.5,18.29,48,7381.69,2024-10-10,BR0048,Restructured,0,0,0,Vehicle,0.53
LOAN000038,CUST03284,Education Loan,2.34,13.94,120,3624.8,2023-07-02,BR0022,NPA,3,57,1,None,0.56
LOAN000039,CUST00929,Business Loan,25.27,16.56,240,36222.91,2024-12-29,BR0046,Active,0,0,0,None,0.8
LOAN000040,CUST09719,Business Loan,22.41,11.94,24,105428.87,2024-01-10,BR0030,Restructured,1,39,0,None,2.2
LOAN000041,CUST08265,Gold Loan,4.36,11.0,12,38534.4,2022-09-06,BR0038,Restructured,0,0,0,Vehicle,1.4
LOAN000042,CUST04021,Auto Loan,7.5,18.17,240,11673.05,2023-08-20,BR0020,Closed,0,0,0,Gold,2.49
