month,branch_id,target_collection_lakh,actual_collection_lakh,collection_efficiency_pct,npa_amount_lakh,npa_pct,new_loans_disbursed,loan_disbursement_amount_lakh
2020-01,BR0001,482.73,430.98,89.28,43.83,9.08,75,307.77
2020-02,BR0001,112.94,88.21,78.1,10.12,8.96,16,338.33
2020-03,BR0001,229.93,186.75,81.22,29.76,12.94,59,108.46
2020-04,BR0001,105.93,91.61,86.48,13.71,12.94,56,331.44
2020-05,BR0001,377.74,331.62,87.79,33.81,8.95,56,81.07
2020-06,BR0001,353.04,288.26,81.65,30.47,8.63,74,156.65
2020-07,BR0001,126.63,106.9,84.42,12.77,10.08,15,140.92
2020-08,BR0001,135.44,121.5,89.71,4.86,3.59,21,114.48
2020-09,BR0001,216.34,204.53,94.54,8.64,3.99,23,315.68
2020-10,BR0001,181.38,133.6,73.66,24.64,13.58,62,355.36
2020-11,BR0001,309.08,266.71,86.29,8.29,2.68,31,58.66
2020-12,BR0001,466.2,429.18,92.06,31.18,6.69,45,208.15
2021-01,BR0001,471.83,389.26,82.5,51.46,10.91,36,296.76
2021-02,BR0001,401.84,297.84,74.12,27.76,6.91,73,216.21
2021-03,BR0001,156.34,153.79,98.37,13.12,8.39,10,60.54
2021-04,BR0001,411.41,363.69,88.4,17.06,4.15,61,32.81
2021-05,BR0001,173.39,163.92,94.54,16.73,9.65,51,69.61
2021-06,BR0001,461.74,354.89,76.86,38.58,8.36,65,90.83
2021-07,BR0001,126.38,101.99,80.7,15.3,12.11,5,251.48
2021-08,BR0001,267.58,229.4,85.73,13.94,5.21,29,132.21
2021-09,BR0001,341.5,244.0,71.45,43.3,12.68,30,322.85
2021-10,BR0001,61.7,44.27,71.75,3.37,5.46,54,329.05
2021-11,BR0001,276.67,237.13,85.71,30.1,10.88,44,34.26
2021-12,BR0001,474.17,458.29,96.65,41.96,8.85,15,31.89
2022-01,BR0001,115.8,99.24,85.7,8.57,7.4,40,264.7
2022-02,BR0001,232.04,165.56,71.35,23.38,10.08,41,299.1
2022-03,BR0001,106.95,93.83,87.73,13.77,12.88,45,237.15
2022-04,BR0001,122.86,93.4,76.02,6.76,5.5,32,300.03
2022-05,BR0001,182.87,139.58,76.33,5.97,3.26,11,23.67
2022-06,BR0001,493.86,489.37,99.09,67.23,13.61,49,373.4
2022-07,BR0001,125.62,115.77,92.16,12.33,9.82,78,213.64
2022-08,BR0001,120.51,111.95,92.9,9.51,7.89,41,306.84
2022-09,BR0001,431.47,388.5,90.04,48.19,11.17,70,258.31
2022-10,BR0001,475.95,359.82,75.6,55.21,11.6,21,319.66
2022-11,BR0001,462.64,422.34,91.29,41.77,9.03,12,330.4
2022-12,BR0001,336.7,342.69,101.78,29.05,8.63,6,379.42
2023-01,BR0001,282.21,207.88,73.66,28.23,10.0,50,28.68
2023-02,BR0001,394.01,370.05,93.92,29.7,7.54,35,294.8
2023-03,BR0001,244.8,180.78,73.85,34.45,14.07,34,118.19
2023-04,BR0001,78.64,68.09,86.58,8.02,10.2,73,248.6
2023-05,BR0001,60.17,46.93,77.99,1.28,2.13,12,387.43
2023-06,BR0001,318.08,299.06,94.02,37.81,11.89,54,394.49
2023-07,BR0001,77.88,57.82,74.24,2.39,3.07,25,332.47
2023-08,BR0001,152.92,115.94,75.82,14.26,9.33,66,155.07
2023-09,BR0001,116.11,109.12,93.98,5.32,4.58,59,247.9
2023-10,BR0001,216.43,200.65,92.71,25.46,11.76,80,286.53
2023-11,BR0001,360.21,296.63,82.35,18.15,5.04,50,379.07
2023-12,BR0001,356.65,263.24,73.81,10.94,3.07,11,123.82
2024-01,BR0001,224.08,198.6,88.63,23.01,10.27,14,220.29
2024-02,BR0001,168.59,146.56,86.93,12.91,7.66,72,85.24
2024-03,BR0001,471.43,375.26,79.6,45.35,9.62,31,372.23
2024-04,BR0001,229.27,210.95,92.01,30.45,13.28,8,202.88
2024-05,BR0001,298.71,294.23,98.5,25.52,8.54,53,261.53
2024-06,BR0001,209.16,183.96,87.95,18.8,8.99,79,324.0
2024-07,BR0001,115.63,94.9,82.07,14.11,12.2,12,263.19
2024-08,BR0001,444.68,335.47,75.44,38.11,8.57,23,318.89
2024-09,BR0001,160.06,117.85,73.63,9.38,5.86,9,337.62
2024-10,BR0001,199.6,164.51,82.42,14.95,7.49,24,287.22
2024-11,BR0001,309.75,300.74,97.09,29.53,9.53,28,107.53
2024-12,BR0001,360.29,351.43,97.54,39.58,10.99,21,41.09
2020-01,BR0002,205.97,208.36,101.16,8.55,4.15,13,242.17
2020-02,BR0002,348.74,325.79,93.42,29.24,8.38,29,259.84
2020-03,BR0002,476.35,410.04,86.08,69.35,14.56,7,367.01
2020-04,BR0002,305.74,298.28,97.56,42.05,13.75,28,212.07
2020-05,BR0002,470.82,405.42,86.11,21.22,4.51,34,187.62
2020-06,BR0002,479.13,414.3,86.47,15.61,3.26,35,92.7
2020-07,BR0002,204.26,188.02,92.05,12.74,6.24,33,167.32
2020-08,BR0002,384.14,390.44,101.64,23.36,6.08,26,377.13
2020-09,BR0002,346.73,324.82,93.68,42.75,12.33,8,218.24
2020-10,BR0002,265.75,202.61,76.24,5.54,2.08,15,248.77
2020-11,BR0002,197.2,158.17,80.21,10.84,5.5,75,318.26
2020-12,BR0002,414.44,304.86,73.56,29.58,7.14,72,321.89
2021-01,BR0002,429.76,409.17,95.21,30.26,7.04,48,304.64
2021-02,BR0002,181.31,178.57,98.49,8.6,4.74,64,48.91
2021-03,BR0002,93.43,69.04,73.89,3.81,4.08,30,397.42
2021-04,BR0002,200.02,165.3,82.64,26.14,13.07,65,363.71
2021-05,BR0002,227.88,164.37,72.13,31.29,13.73,28,392.71
2021-06,BR0002,392.88,345.18,87.86,38.16,9.71,47,114.7
2021-07,BR0002,244.17,222.73,91.22,35.87,14.69,60,156.89
2021-08,BR0002,99.5,101.43,101.94,9.72,9.77,19,338.87
2021-09,BR0002,50.17,43.42,86.54,6.08,12.12,64,290.71
2021-10,BR0002,324.11,308.36,95.14,20.88,6.44,46,341.99
2021-11,BR0002,402.7,330.01,81.95,43.44,10.79,74,258.94
2021-12,BR0002,78.6,57.28,72.88,5.06,6.44,50,58.57
2022-01,BR0002,487.75,371.81,76.23,49.55,10.16,50,396.73
2022-02,BR0002,150.78,143.04,94.87,7.17,4.76,7,252.12
2022-03,BR0002,70.31,65.94,93.79,7.04,10.01,48,129.04
2022-04,BR0002,334.8,331.25,98.94,13.39,4.0,50,252.3
2022-05,BR0002,474.39,388.29,81.85,12.42,2.62,17,76.57
2022-06,BR0002,219.99,179.8,81.73,5.78,2.63,23,101.58
2022-07,BR0002,481.91,460.37,95.53,23.02,4.78,10,379.67
2022-08,BR0002,214.31,198.47,92.61,31.63,14.76,74,94.58
2022-09,BR0002,445.68,450.4,101.06,23.33,5.23,51,60.25
2022-10,BR0002,284.23,210.59,74.09,36.63,12.89,42,73.23
2022-11,BR0002,475.38,339.42,71.4,44.3,9.32,51,223.85
2022-12,BR0002,263.4,232.58,88.3,30.58,11.61,13,237.89
2023-01,BR0002,426.27,379.93,89.13,48.43,11.36,75,291.87
2023-02,BR0002,466.23,417.46,89.54,22.67,4.86,30,307.73
2023-03,BR0002,89.46,86.19,96.34,2.46,2.75,66,260.64
2023-04,BR0002,73.58,66.84,90.84,7.03,9.55,8,213.66
2023-05,BR0002,141.86,110.01,77.55,18.39,12.96,79,368.37
2023-06,BR0002,283.85,250.07,88.1,15.15,5.34,9,207.47
2023-07,BR0002,284.96,201.89,70.85,27.62,9.69,34,153.2
2023-08,BR0002,224.11,182.94,81.63,12.85,5.73,18,199.42
2023-09,BR0002,266.79,188.46,70.64,12.06,4.52,79,82.56
2023-10,BR0002,349.14,339.43,97.22,31.47,9.01,46,91.36
2023-11,BR0002,400.4,384.26,95.97,57.75,14.42,54,396.28
